 , C00, C05, C17, C26, C31, C32, C34, C36, C37, C39, C41
Time(s)/Cell Status, undecided, undecided, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
15.7,0.07202645,0.1868732,0.4790821,0.3656842,0.5772946,0,0.6623525,0.2185757,0.6715574,0,0.2942078
15.8,0.07517095,0.1787922,0.4833983,0.3506839,0.5536168,0,0.6355771,0.2095886,0.6440246,0,0.2822598
15.9,0.07973187,0.1796623,0.4722343,0.3805048,0.53091,0,0.6448144,0.2009709,0.6349006,0,0.270797
16,0.07983351,0.1815755,0.4525087,0.3648966,0.5091345,0,0.6840931,0.1927076,0.6088707,0,0.2597997
16.1,0.0763425,0.1737236,0.474093,0.3499286,0.6311373,0,0.6564388,0.2402908,0.6184455,0,0.2492491
16.2,0.07300415,0.1666677,0.4542898,0.3355746,0.605251,0,0.6299025,0.2304107,0.5930902,0,0.2391269
16.3,0.08964087,0.2033781,0.4353138,0.3218094,0.5804265,0,0.6044388,0.2209369,0.5687745,0,0.2523566
16.4,0.08572099,0.2118634,0.4480677,0.3413734,0.5566201,0,0.6302004,0.2118527,0.6040462,0,0.2762894
16.5,0.08197254,0.2027017,0.4293515,0.3682816,0.5337901,0,0.6047247,0.2031419,0.5792813,0,0.2777695
16.6,0.07838798,0.1939362,0.4114172,0.3531748,0.5118966,0,0.5802789,0.2918411,0.6393577,0,0.2664891
16.7,0.08740291,0.1855498,0.4637193,0.3386876,0.5440918,0,0.5568213,0.2798414,0.613145,0,0.2556668
16.8,0.0835809,0.177526,0.4674414,0.3727458,0.5217757,0,0.534312,0.2683352,0.5880071,0,0.3005249
16.9,0.07992602,0.1715086,0.4920851,0.3574558,0.6764995,0,0.5127126,0.2579149,0.5638997,0,0.2910455
17,0.07643096,0.176625,0.5056749,0.3595303,0.6487527,0,0.5272871,0.2473102,0.5687354,0,0.2792259
17.1,0.07308874,0.1689871,0.4845525,0.3591275,0.6221439,0,0.5059716,0.2371416,0.5511092,0,0.2678863
17.2,0.06989267,0.1616796,0.6245826,0.3666802,0.5966265,0,0.4855178,0.227391,0.5620834,0,0.2570073
17.3,0.06683636,0.154688,0.5984933,0.3569348,0.5721556,0,0.4658909,0.2257829,0.5519257,0,0.24657
17.4,0.0639137,0.1479988,0.6361374,0.3422934,0.5596687,0,0.474533,0.2257684,0.6162853,0,0.2631718
17.5,0.06111884,0.1415988,0.6130398,0.3282526,0.622954,0,0.4553502,0.2445071,0.5910187,0,0.2524842
17.6,0.07590824,0.1354756,0.6907972,0.3191603,0.6162517,0,0.4369428,0.2344537,0.5667878,0,0.2422306
17.7,0.07258888,0.1296171,0.6619421,0.3060684,0.5909759,0,0.4192795,0.2289089,0.5435504,0,0.2323935
17.8,0.06941466,0.1240121,0.698024,0.3090874,0.5667369,0,0.4900549,0.2194968,0.5212657,0,0.2229558
17.9,0.06637925,0.1653139,0.7156618,0.2964087,0.608866,0,0.4702446,0.2104717,0.4998947,0,0.2139014
18,0.06347658,0.1581652,0.685768,0.2842501,0.5838932,0,0.451815,0.2018178,0.4947427,0,0.2052147
18.1,0.06070083,0.1513256,0.7371436,0.2725902,0.5883817,0,0.4335505,0.1935197,0.4933058,0,0.1968808
18.2,0.05804647,0.1447818,0.7470394,0.2614086,0.564249,0,0.4160244,0.2597208,0.526161,0,0.2223054
18.3,0.05550817,0.1385209,0.715835,0.2506857,0.5411061,0,0.3992067,0.2490419,0.5045892,0,0.2182965
18.4,0.05308088,0.1473229,0.6859341,0.2404026,0.5751723,0,0.3830689,0.2577326,0.4839019,0,0.2094313
18.5,0.1027328,0.1409521,0.6572821,0.2449494,0.6387295,0,0.3675835,0.2471354,0.4962417,0,0.2009261
18.6,0.09824044,0.1348569,0.6832718,0.2583718,0.6125318,0,0.352724,0.2369739,0.4758966,0,0.1927664
18.7,0.09394452,0.1292185,0.654731,0.2707412,0.5874086,0,0.3384652,0.2731322,0.4847018,0,0.2099118
18.8,0.08983645,0.1236307,0.6273825,0.2596354,0.5633159,0,0.3247828,0.2619019,0.4853674,0,0.2149898
18.9,0.08590803,0.1182844,0.7907822,0.2489853,0.5402113,0,0.3324255,0.2511332,0.4654681,0,0.2219056
